,0
Unknown,2022-01-09 16:00:00+00:00
Unknown,2022-01-10 12:00:00+00:00
Bullish,2022-01-10 16:00:00+00:00
Unknown,2022-01-16 20:00:00+00:00
Unknown,2022-01-20 08:00:00+00:00
Bullish,2022-01-20 20:00:00+00:00
Bullish,2022-01-23 16:00:00+00:00
Bullish,2022-01-24 04:00:00+00:00
Bullish,2022-01-25 12:00:00+00:00
Unknown,2022-01-28 00:00:00+00:00
Unknown,2022-01-28 04:00:00+00:00
Unknown,2022-02-03 00:00:00+00:00
Unknown,2022-02-04 04:00:00+00:00
Bearish,2022-02-04 12:00:00+00:00
Bearish,2022-02-09 08:00:00+00:00
Bullish,2022-02-10 12:00:00+00:00
Bullish,2022-02-14 08:00:00+00:00
Unknown,2022-02-18 08:00:00+00:00
Unknown,2022-02-21 00:00:00+00:00
Bullish,2022-02-22 00:00:00+00:00
Bullish,2022-02-22 08:00:00+00:00
Unknown,2022-02-23 20:00:00+00:00
Unknown,2022-02-25 12:00:00+00:00
Unknown,2022-02-27 16:00:00+00:00
Bullish,2022-03-03 16:00:00+00:00
Bullish,2022-03-03 20:00:00+00:00
Bullish,2022-03-04 16:00:00+00:00
Unknown,2022-03-07 00:00:00+00:00
Unknown,2022-03-08 16:00:00+00:00
Bullish,2022-03-08 20:00:00+00:00
Bullish,2022-03-10 04:00:00+00:00
Unknown,2022-03-14 12:00:00+00:00
Bullish,2022-03-15 12:00:00+00:00
Unknown,2022-03-19 16:00:00+00:00
Unknown,2022-03-21 08:00:00+00:00
Bearish,2022-03-21 16:00:00+00:00
Bearish,2022-03-21 20:00:00+00:00
Bullish,2022-03-22 04:00:00+00:00
Bearish,2022-03-24 20:00:00+00:00
Bearish,2022-03-25 08:00:00+00:00
Bullish,2022-03-27 12:00:00+00:00
Bullish,2022-03-27 16:00:00+00:00
Bullish,2022-03-28 04:00:00+00:00
Unknown,2022-03-31 12:00:00+00:00
Unknown,2022-03-31 20:00:00+00:00
